Estrellas,HIP,dist (Eric),dist (ANEXO),Vmag,AbsMag (Eric),Abs Mag (ANEXO)
α Andromedae (Alpheratz o Sirrah),667,29.7619,29.75460123,2.07,-0.298304,"-0,30"
β Ceti (Deneb Kaitos o Diphda),3419,29.37720329,29.44785276,2.04,-0.300052243,"-0,31"
Estrella de Van Maanen,3829,4.406256885,4.325153374,12.37,14.14965094,"+14,2"
β Andromedae (Mirach),5447,61.12469438,61.04294479,2.07,-1.861083503,"-1,87"
α Eridani (Achernar),7588,44.09171076,44.17177914,0.45,-2.771784749,-2.77
α Arietis (Hamal),9884,20.21018593,20.24539877,2.01,0.482148455,"+0,48"
ο Ceti (Mira),10826,128.3697047,128.2208589,6.47,0.927687288,"+0,93"
α Ursae Minoris (Polaris),11767,132.2751323,132.208589,1.97,-3.637391022,"-3,65"
α Persei (Mirfak o Algenib),15863,181.4882033,180.9815951,1.79,-4.504242006,"-4,50"
α Tauri (Aldebarán),21421,19.96406468,19.96932515,0.87,-0.631244842,"−0,63 / +11,98"
Estrella de Kapteyn,24186,3.917574238,3.926380368,8.86,10.89491382,"+10,88"
β Orionis (Rigel),24436,236.9668246,263.803681,0.18,-6.693437745,"-6,7  "
α Aurigae (Capella),24608,12.93828438,12.94478528,0.08,-0.479383464,"-0,5 (+0,14 / +0,29)"
γ Orionis (Bellatrix),25336,74.51564829,73.6196319,1.64,-2.721237421,"-2,72"
β Tauri (Elnath),25428,40.17677782,40.18404908,1.65,-1.369875517,"-1,34"
δ Orionis (Mintaka),25930,280.8988764,280.6748466,2.25,-4.99275001,"-4,99 (conjunta)"
ε Orionis (Alnilam),26311,411.5226337,411.0429448,1.69,-6.381968632,-6.95
ζ Orionis (Alnitak),26727,250.6265664,214.7239264,1.74,-5.255135522,"-5,10"
κ Orionis (Saiph),27366,221.2389381,221.4723926,2.07,-4.654307826,"-4,68"
α Orionis (Betelgeuse),27989,131.061599,197.2392638,0.45,-5.13737731,"-6,0 a -5,5"
β Aurigae (Menkalinan),28360,25.17623364,25.18404908,1.9,-0.104953801,"-0,11 (conjunta)"
β Canis Majoris (Mirzam o Murzim),30324,153.1393568,153.3742331,1.98,-3.945434094,"-3,95"
α Carinae (Canopo),30438,95.87727709,94.78527607,-0.62,-5.528578458,"-5,53"
γ Geminorum (Alhena),31681,32.13367609,32.20858896,1.93,-0.604802058,"-0,61 "
α Canis Majoris (Sirio),32349,2.637061259,2.63803681,-1.44,1.454398907,"1,42 (A) / 11,18 (B)"
ε Canis Majoris (Adhara),33579,132.1003963,124.2331288,1.5,-4.104520602,"-4,10"
δ Canis Majoris (Wezen),34444,549.4505495,552.1472393,1.83,-6.86964306,"-6,87"
α Geminorum (Cástor),36850,15.80527896,15.64417178,1.58,0.585989172,"+1,22 / +2,8"
α Canis Minoris (Procyon),37279,3.497359494,3.5,0.4,2.681298621,"+2,65 / +13,04"
β Geminorum (Pólux),37826,10.33698573,10.33742331,1.16,1.088030415,"+1,09"
γ Velorum (Suhail o Regor),39953,257.7319588,245.398773,1.75,-5.305841372,"-5,31 / -2,79"
ε Carinae (Avior),41037,193.7984496,193.2515337,1.86,-4.576751492,"-4,58 (conjunta)"
δ Velorum,42913,24.44987775,24.44785276,1.93,-0.01138346,"0,4 / 1,5 / 3,6"
β Carinae (Miaplacidus),45238,34.08316292,34.04907975,1.67,-0.992699452,"-1,00"
α Hydrae (Alphard),46390,54.34782609,54.29447853,1.99,-1.685910885,"-1,69"
α Leonis (Regulus),49669,23.7586125,23.6196319,1.36,-0.519105371,"-0,5 / +4,2 / +9,5"
γ Leonis (Algieba),50583,38.52080123,40.18404908,2.01,-0.918476559,"-0,92 (conjunta)"
Lalande 21185,54035,2.54841998,2.549079755,7.49,10.45864499,"+10,46"
α Ursae Majoris (Dubhe),54061,37.90750569,38.03680982,1.81,-1.083626044,"-1,09 / +1,83 / +4,22"
δ Leonis (Duhr o Zosma),54872,17.69285209,17.6993865,2.56,1.321010766,"+1,29"
θ Leonis (Chertan),54879,54.46623094,50.61349693,3.33,-0.350636616,"-0,35"
61 Ursae Majoris,56997,9.541074325,9.539877301,5.31,5.412013605,"+5,41"
β Leonis (Denébola),57362,275.4820937,11.01226994,6.91,-0.290466875,"+1,91"
β Virginis (Zavijava),57757,10.90037061,10.9202454,3.59,3.402793679,"+3,40"
γ Ursae Majoris (Phecda),58001,25.64760195,25.76687117,2.41,0.364766176,"+0,36"
δ Centauri,59196,121.2121212,121.1656442,2.58,-2.837730257,"-2,82"
12 Comae Berenices,60351,83.82229673,83.86319018,4.78,0.163202218,"0,16 "
α Crucis (Acrux),60718,98.32841691,99.69325153,0.77,-4.193395235,"-3,6 / -2,88"
γ Crucis (Gacrux),61084,26.96144513,26.99386503,1.59,-0.563715833,"-0,56 "
