Estrellas,HIP,dist (Eric),dist (ANEXO),Vmag,AbsMag (Eric),Abs Mag (ANEXO)
α Andromedae (Alpheratz o Sirrah),667,29.7619,29.754601226993863,2.07,-0.298304,"-0,30"
β Ceti (Deneb Kaitos o Diphda),3419,29.37720329024677,29.447852760736197,2.04,-0.3000522429372481,"-0,31"
Estrella de Van Maanen,3829,4.406256884776382,4.325153374233129,12.37,14.14965093539434,"+14,2"
β Andromedae (Mirach),5447,61.124694376528026,61.04294478527608,2.07,-1.8610835033234765,"-1,87"
α Eridani (Achernar),7588,44.0917107583774,44.171779141104295,0.45,-2.771784748895654,-2.77
α Arietis (Hamal),9884,20.210185933710576,20.245398773006137,2.01,0.4821484547854161,"+0,48"
ο Ceti (Mira),10826,128.369704749679,128.2208588957055,6.47,0.9276872883628232,"+0,93"
α Ursae Minoris (Polaris),11767,132.2751322751322,132.2085889570552,1.97,-3.6373910224939663,"-3,65"
α Persei (Mirfak o Algenib),15863,181.48820326678745,180.98159509202455,1.79,-4.504242005741072,"-4,50"
α Tauri (Aldebarán),21421,19.964064683569568,19.969325153374232,0.87,-0.6312448415524275,"−0,63 / +11,98"
Estrella de Kapteyn,24186,3.9175742380318113,3.92638036809816,8.86,10.894913824504805,"+10,88"
β Orionis (Rigel),24436,236.96682464454952,263.80368098159505,0.18,-6.693437745191629,"-6,7  "
α Aurigae (Capella),24608,12.938284383490744,12.944785276073622,0.08,-0.4793834635104571,"-0,5 (+0,14 / +0,29)"
γ Orionis (Bellatrix),25336,74.51564828614008,73.61963190184049,1.64,-2.7212374208351333,"-2,72"
β Tauri (Elnath),25428,40.17677782241862,40.1840490797546,1.65,-1.3698755169570327,"-1,34"
δ Orionis (Mintaka),25930,280.8988764044944,280.6748466257669,2.25,-4.992750010135623,"-4,99 (conjunta)"
ε Orionis (Alnilam),26311,411.5226337448556,411.0429447852761,1.69,-6.381968632008437,-6.95
