HIP	RAhms	DEdms	Vmag	Plx	ABSmag	Pc	Ly	X	Y	Z
1	00 00 00.22	+01 05 20.4	9.1	3.54	1.8450163101289387	282.4858757062148	921.3553672316389	282.4348516370115	0.004494889879771135	5.368848487556865
2	00 00 00.91	-19 29 55.8	9.27	21.9	5.972220574200591	45.66210045662101	148.93141552511418	43.04329962911131	0.0028527639616911485	-15.241448980029194
3	00 00 01.20	+38 51 33.4	6.61	2.81	-1.1464684004746006	355.8718861209965	1160.71103202847	277.1135852411577	0.024221172912493927	223.27753944237634
4	00 00 02.01	-51 53 36.8	8.06	7.75	2.5065085125315516	129.03225806451618	420.8513548387099	79.6289685327774	0.0116487834877928	-101.53103395484403
5	00 00 02.39	-40 35 28.4	8.55	2.87	0.8394094836699626	348.4320557491289	1136.4452961672473	264.589185208473	0.046019466702798495	-226.71007570571075
6	00 00 04.35	+03 56 47.4	12.31	18.8	8.6807892463184	53.19148936170213	173.48925531914895	53.06535711936528	0.0168019709760713	3.6608922415268963
7	00 00 05.41	+20 02 11.8	9.64	17.74	5.8847680774785385	56.36978579481399	183.85558060879373	52.957940484037884	0.020841742717514274	19.313437184097374
8	00 00 06.55	+25 53 11.3	9.05	5.17	2.617452715469714	193.42359767891685	630.8700193423599	174.01562197456172	0.08288856785295619	84.44669666332267
9	00 00 08.48	+36 35 09.4	8.59	4.81	2.0007253818691595	207.90020790020782	678.086902286902	166.93630583039982	0.10297172594674593	123.91430763827279
10	00 00 08.70	-50 52 01.5	8.59	10.76	3.7490613566518523	92.93680297397765	303.1224907063196	58.65441920943329	0.037112754906906985	-72.0895767560847
11	00 00 08.95	+46 56 24.0	7.34	4.29	0.5022864609236226	233.100233100233	760.2792540792537	159.15237610361942	0.10360098252947607	170.31215199976614
12	00 00 09.82	-35 57 36.8	8.43	4.06	1.4726301678859706	246.30541871921173	803.3492610837436	199.365674416639	0.14237625181133043	-144.6363262940809
13	00 00 10.00	-22 35 40.9	8.8	3.49	1.5141271347959009	286.5329512893981	934.5553008595983	264.5403000662752	0.19243934515391742	-110.08871323871534
14	00 00 11.59	-00 21 37.5	7.25	5.11	0.7921045006735632	195.6947162426614	638.277495107632	195.6907749005497	0.16487018547160653	-1.2310166286810444
15	00 00 12.07	+50 47 28.2	8.6	2.45	0.5458304218226626	408.16326530612236	1331.264489795918	258.019766624255	0.22655584902411202	316.26412988033957
17	00 00 12.26	-40 11 32.4	8.15	6.15	2.0943755788770844	162.60162601626013	530.341138211382	124.20847822988476	0.1107760739910716	-104.93583967172225
16	00 00 12.34	-54 54 50.9	11.71	0.53	0.33137934800394575	1886.7924528301883	6153.958490566037	1084.5344547630436	0.973096563899452	-1543.9461873950993
18	00 00 12.75	-04 03 13.5	11.03	19.93	7.527536493502437	50.175614651279496	163.65268439538391	50.05006309030489	0.04641917082287933	-3.547017839083152
19	00 00 12.80	+38 18 14.7	6.53	4.12	-0.39551391983432627	242.7184466019418	791.6500000000002	190.46888977245354	0.17724211442450216	150.44538854661343
20	00 00 15.11	+23 31 45.4	8.51	10.76	3.669061356651852	92.93680297397765	303.1224907063196	85.20962824429891	0.09361930157365682	37.10201931052664
21	00 00 15.90	+08 00 26.0	7.55	5.84	1.3820642355619972	171.2328767123287	558.492808219178	169.56332648383687	0.19602052763621716	23.852420314677666
22	00 00 16.83	-49 21 08.2	8.69	4.47	1.9415376156596817	223.7136465324384	729.663982102908	145.72842339703243	0.17838667514938414	-169.7380052824062
23	00 00 17.86	+13 18 44.0	7.57	12.21	3.0035783197244132	81.9000819000819	267.12514332514337	79.69934492936586	0.10353240396914654	18.858078218933514
24	00 00 18.25	-23 27 09.9	9.05	9.73	3.99056420134176	102.77492291880782	335.21048304213775	94.28446002715991	0.12514565046670095	-40.90366385692047
25	00 00 19.05	-44 17 25.1	6.28	13.74	1.9699336636176588	72.78020378457057	237.37976710334783	52.096820076621654	0.07216388503323382	-50.82198533313539
26	00 00 20.24	-13 23 35.9	9.13	9.19	3.946577556930558	108.81392818280737	354.9072905331882	105.85439935629175	0.15582961719277352	-25.205015783019554
27	00 00 20.51	-41 17 51.1	9.32	9.66	4.244885632077468	103.51966873706003	337.63954451345757	77.77346471601193	0.11601699725129401	-68.31981075467232
